date,instrument,val_zb1_sym1,val_gc1_sym2,val_dxy_sym3,val_raw_label,val_final_verdict,bbsb_bench_zb,bbsb_bench_gc,bbsb_bench_dxy,bbsb_rel_zb,bbsb_rel_gc,bbsb_rel_dxy,bbsb_selfz,bbsb_verdict_gate,bbsb_verdict_bench,bbsb_verdict_rel,bbsb_tb_bench,bbsb_tb_rel,bbsb_flip,seas_bar0,seas_bar5,seas_bar10,seas_verdict,cot_comm_net,cot_index,cot_noncomm_net,cot_specs_net,cot_verdict,w_bias,macro_status,gated,bbsbcot_comm_net,bbsbcot_noncomm_net,bbsbcot_specs_net,bbsbcot_comm_idx,bbsbcot_noncomm_idx,bbsbcot_nonrep_idx,bbsbcot_verdict,bbsbcot_dir,bbsbcot_ready,bbsbcot_agrees
2026-08-09,GBPJPY,-78.5,-100.0,-61.589,NEUTRAL,NEUTRAL,0.679,2.313,-0.372,-1.343,-2.977,-0.292,-0.664,0,0,0,0,0,0,212.911,212.177,212.194,NEUTRAL (bearish dir),GBP 62.65K / JPY 50.57K,GBP 43.88 / JPY 38.31,GBP -57.81K / JPY -45.47K,GBP -4.83K / JPY -5.09K,NEUTRAL both legs,RANGING,WEAK,0,,,,,,,,,,
2026-08-09,EURGBP,13.36583,-86.45332,99.53154,NEUTRAL,NEUTRAL,0.67949,2.3128,-0.37167,-1.82688,-3.46019,-0.77572,-1.14739,0,0,0,0,0,0,0.8566,0.85926,0.86032,OPPOSING (bullish dir),EUR 31.46K / GBP 62.65K,EUR 92.96 / GBP 43.88,EUR -58.09K / GBP -57.81K,EUR 26.63K / GBP -4.83K,BULLISH (EUR-leg extreme),BEARISH,SKIP,1,,,,,,,,,,
2026-08-09,XAUUSD,99.321,-33.849,93.842,NEUTRAL,NEUTRAL,0.71,2.276,-0.418,1.634,0.067,2.761,2.343,1,1,0,0,0,0,4341.935,4313.666,4329.047,NEUTRAL (bearish dir near-term),-226.49K,0.0,197.63K,28.86K,FULL BEARISH DIVERGENCE,RANGING,WEAK,0,,,,,,,,,,
2026-08-09,US30,58.3,-80.3,50.8,NEUTRAL,NEUTRAL,0.7,2.3,-0.4,-0.2,-1.9,0.8,0.5,0,0,0,0,0,0,54031,54020.478,53619.376,OPPOSING (bearish dir),-25.58K,0.0,20.05K,5.53K,FULL BEARISH DIVERGENCE,BULLISH,SKIP,1,,,,,,,,,,
2026-08-09,NAS100,47.8,-50.0,42.7,NEUTRAL,NEUTRAL,0.7,2.3,-0.4,-2.0,-3.6,-1.0,-1.3,0,0,0,0,0,0,29730.6,29699.1,29487.351,NEUTRAL (bearish dir),15.44K,120.00 (Comm) / 3.29 (NonComm),-14.64K,-0.80K,MIXED=NEUTRAL (carve-out conflict),RANGING,WEAK,0,,,,,,,,,,
2026-08-09,US500,48.5,-73.3,43.1,NEUTRAL,NEUTRAL,0.7,2.3,-0.4,-1.6,-3.2,-0.5,-0.9,0,0,0,0,0,0,7757,7748.785,7699.797,OPPOSING (bearish dir),-84.38K,10.39,-27.26K,111.63K,PARTIAL BEARISH,BULLISH,SKIP,1,,,,,,,,,,
2026-08-09,GER40,73.4,-76.4,55.7,NEUTRAL,NEUTRAL,0.8,2.4,-0.5,0.8,-0.9,2.1,1.6,1,1,0,0,0,0,26370.2,26188.8,25724.437,OPPOSING (bearish dir),,,,,UNAVAILABLE,BULLISH,WEAK,0,,,,,,,,,,
2026-08-15,EURUSD,-0.96492,-73.6374,-1.84756,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,1.157,1.16057289,1.16341325,OPPOSING,29203,91.94,-60010,30807,PARTIAL BULL,BEARISH,SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-15,GBPUSD,-52.86336,-65.69996,-62.98809,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,1.3534,1.35633974,1.35731647,NEUTRAL,-81062,37.01,74576,6486,NEUTRAL,RANGING,WEAK,0,-81062,74576,6486,37.0052,60.5037,65.3102,0,0,1,1
2026-08-15,AUDUSD,10.15344,-77.81153,-0.26707,BULLISH,ALIGNED,,,,,,,,,,,,,,0.7085,0.7044564,0.70791426,OPPOSING,14861,93.62,-39223,24362,PARTIAL BULL,BULLISH,WEAK,0,14861,-39223,24362,93.61576,0.58993,72.33237,1,1,1,1
2026-08-15,USDJPY,9.537,-44.948,59.355,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,159.321,159.09395078,159.44588437,NEUTRAL,48769,37.28,-42085,-6684,NEUTRAL,BULLISH,WEAK,0,48769,-42085,-6684,37.2787655,68.7923478,0.0,0,0,1,1
2026-08-15,GBPJPY,-10.456,-41.961,-54.052,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,215.618,215.6170979,216.14039262,NEUTRAL,-81062 (6B1!) / +48769 (6J1!),37.0 / 37.3,74576 / -42085,6486 / -6684,NEUTRAL (2-leg: GBP neutral + JPY neutral),BULLISH,WEAK,0,62698,-56354,-6344,59.2877,45.1846,30.5457,-1,-1,1,0
2026-08-15,EURGBP,-26.38933,-70.44763,15.82548,BEARISH,NEUTRAL,,,,,,,,,,,,,,0.8549,0.8556852,0.85846764,OPPOSING,+29203 (6E1!) / -81062 (6B1!),91.9 / 37.0,-60010 / 74576,30807 / 6486,BULLISH (EUR buy-extreme + GBP neutral),BEARISH,SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-15,XAUUSD,76.504,0.758,81.736,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,4376.82,4403.47228884,4444.68222959,NEUTRAL,-252640,0.0,217940,34700,FULL BEAR,RANGING,WEAK,0,-252640,217940,34700,0.0,100.0,60.5,-2,-1,1,1
2026-08-15,US30,4.3,-72.4,-1.8,BULLISH,ALIGNED,,,,,,,,,,,,,,53720.1,53310.98364286,53627.05789946,OPPOSING,-24810,2.42,18475,6335,FULL BEAR,BULLISH,SKIP,1,-24810,18475,6335,2.0,95.0,75.0,-2,-1,1,1
2026-08-15,NAS100,50.5,-28.0,39.7,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,30066.2,29839.60796558,30171.66465619,NEUTRAL,17475,NonComm 0.00 (carve-out),-39302,21827,"BULLISH-LEAN (carve-out: extreme, no flip)",RANGING,WEAK,0,17475,-39302,21827,100.0,0.0,100.0,1,1,1,1
2026-08-15,US500,26.7,-69.5,17.4,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,7786.4,7735.75324209,7789.33930042,NEUTRAL,-142440,0.0,11280,131160,FULL BEAR,BULLISH,SKIP,1,-142440,11280,131160,0.0,100.0,96.3,-2,-1,1,1
2026-08-15,GER40,15.9,-81.9,6.4,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,26463.8,26040.1393808,26148.51251821,OPPOSING,,,,,UNAVAILABLE,BULLISH,WEAK,0,,,,,,,,,,
