date,instrument,bbsb_bench_zb,bbsb_bench_gc,bbsb_bench_dxy,bbsb_rel_zb,bbsb_rel_gc,bbsb_rel_dxy,bbsb_selfz,bbsb_verdict_gate,bbsb_verdict_bench,bbsb_verdict_rel,bbsb_tb_bench,bbsb_tb_rel,bbsb_flip,cot_comm_net,cot_index,cot_noncomm_net,cot_specs_net,cot_verdict,w_bias,macro_status,gated,bbsbcot_comm_net,bbsbcot_noncomm_net,bbsbcot_specs_net,bbsbcot_comm_idx,bbsbcot_noncomm_idx,bbsbcot_nonrep_idx,bbsbcot_verdict,bbsbcot_dir,bbsbcot_ready,bbsbcot_agrees
2026-08-15,GBPUSD,,,,,,,,,,,,,,-81062,37.01,74576,6486,NEUTRAL,RANGING,WEAK,0,-81062,74576,6486,37.0052,60.5037,65.3102,0,0,1,1
2026-08-15,AUDUSD,,,,,,,,,,,,,,14861,93.62,-39223,24362,PARTIAL BULL,BULLISH,WEAK,0,14861,-39223,24362,93.61576,0.58993,72.33237,1,1,1,1
2026-08-15,USDJPY,,,,,,,,,,,,,,48769,37.28,-42085,-6684,NEUTRAL,BULLISH,WEAK,0,48769,-42085,-6684,37.2787655,68.7923478,0.0,0,0,1,1
2026-08-15,GBPJPY,,,,,,,,,,,,,,-81062 (6B1!) / +48769 (6J1!),37.0 / 37.3,74576 / -42085,6486 / -6684,NEUTRAL (2-leg: GBP neutral + JPY neutral),BULLISH,WEAK,0,62698,-56354,-6344,59.2877,45.1846,30.5457,-1,-1,1,0
2026-08-15,EURGBP,,,,,,,,,,,,,,+29203 (6E1!) / -81062 (6B1!),91.9 / 37.0,-60010 / 74576,30807 / 6486,BULLISH (EUR buy-extreme + GBP neutral),BEARISH,SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-15,XAUUSD,,,,,,,,,,,,,,-252640,0.0,217940,34700,FULL BEAR,RANGING,WEAK,0,-252640,217940,34700,0.0,100.0,60.5,-2,-1,1,1
2026-08-15,US30,,,,,,,,,,,,,,-24810,2.42,18475,6335,FULL BEAR,BULLISH,SKIP,1,-24810,18475,6335,2.0,95.0,75.0,-2,-1,1,1
2026-08-15,NAS100,,,,,,,,,,,,,,17475,NonComm 0.00 (carve-out),-39302,21827,"BULLISH-LEAN (carve-out: extreme, no flip)",RANGING,WEAK,0,17475,-39302,21827,100.0,0.0,100.0,1,1,1,1
2026-08-15,US500,,,,,,,,,,,,,,-142440,0.0,11280,131160,FULL BEAR,BULLISH,SKIP,1,-142440,11280,131160,0.0,100.0,96.3,-2,-1,1,1
2026-08-15,GER40,,,,,,,,,,,,,,,,,,UNAVAILABLE,BULLISH,WEAK,0,,,,,,,,,,
2026-08-16,EURUSD,,,,,,,,,,,,,,29203,91.94,-60010,30807,PARTIAL BULL,BEARISH,D:WEAK|S:SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-16,GBPUSD,,,,,,,,,,,,,,58887,24.75,-56221,-2666,NEUTRAL,RANGING,D:WEAK|S:NO ZONE,0,58887,-56221,-2666,24.7537,78.1774,68.9707,0,0,1,1
2026-08-16,AUDUSD,,,,,,,,,,,,,,14861,93.62,-39223,24362,PARTIAL BULL,BULLISH,D:WEAK|S:SKIP,1,14861,-39223,24362,93.61576,0.58993,72.33237,1,1,1,1
2026-08-16,USDJPY,,,,,,,,,,,,,,48769,37.28,-42085,-6684,NEUTRAL (6J1! inverted),BULLISH,S:WEAK|D:NO ZONE,0,48769,-42085,-6684,37.27877,68.79235,0.0,0,0,1,1
2026-08-16,GBPJPY,,,,,,,,,,,,,,58887,24.75,-56221,-2666,NEUTRAL (two-leg; legB JPY comm_idx 37.28),BULLISH,S:WEAK|D:NO ZONE,0,58887,-56221,-2666,24.7537,78.1774,68.9707,0,0,1,1
2026-08-16,EURGBP,,,,,,,,,,,,,,29203,91.94,-60010,30807,PARTIAL BULL (EUR extreme; legB GBP comm_idx 24.75),BEARISH,D:WEAK|S:SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-16,XAUUSD,,,,,,,,,,,,,,-252640,0.0,217940,34700,FULL BEAR,BEARISH,S:WEAK|D:SKIP,1,-252640,217940,34700,0.0,100.0,60.5,-2,-1,1,1
2026-08-16,US30,,,,,,,,,,,,,,-24810,2.42,18475,6335,FULL BEAR,BULLISH,D:SKIP|S:NO ZONE,1,-24810,18475,6335,2.42,94.68,75.06,-2,-1,1,1
