id,symbol,side,open_dt,close_dt,entry,exit,qty,fee,swap,pnl,status,tq
489817884774978,XAUUSD,SELL,2026-07-27 21:03,2026-07-28 09:48,4088.27,4046.94,0.1,-0.81,-8.91,403.58,WIN,
489817884774740,XAUUSD,SELL,2026-07-27 21:02,2026-07-27 21:15,4087.05,4086.59,0.09,-0.74,0.00,3.40,WIN,
479516103560968,CADJPY,SELL,2026-07-13 20:57,2026-07-13 22:18,114.683,114.779,1.5,-6.00,0.00,-94.72,LOSS,
479516103560156,CADJPY,SELL,2026-07-13 20:55,2026-07-13 21:20,114.673,114.667,0.03,-0.12,0.00,-0.01,LOSS,
479516103391734,EURJPY,BUY,2026-07-13 08:55,2026-07-13 12:30,184.697,184.700,1.5,-6.00,0.00,-3.22,LOSS,
477981986561054,USDJPY,BUY,2026-07-10 19:04,2026-07-10 23:26,161.775,161.481,1,-4.00,0.00,-186.06,LOSS,
477981986561975,USDJPY,BUY,2026-07-10 19:07,2026-07-10 23:26,161.772,161.482,0.45,-1.80,0.00,-82.61,LOSS,
477981986552347,USDJPY,BUY,2026-07-10 18:09,2026-07-10 19:25,161.791,161.822,0.49,-1.96,0.00,7.43,WIN,
477981986356933,USDJPY,SELL,2026-07-10 00:17,2026-07-10 01:23,162.289,162.283,0.49,-1.96,0.00,-0.15,LOSS,
474580851186662,USDJPY,SELL,2026-07-08 10:37,2026-07-09 18:25,162.385,162.446,0.49,-1.96,-8.23,-28.59,LOSS,
474580851186466,USDJPY,SELL,2026-07-08 10:36,2026-07-08 10:36,162.399,162.394,0.01,-0.04,0.00,-0.01,LOSS,
474580850865973,USDJPY,SELL,2026-07-07 14:25,2026-07-07 19:14,162.003,161.900,0.01,-0.04,0.00,0.60,WIN,
474580850540300,USDJPY,SELL,2026-07-06 18:03,2026-07-07 07:59,162.403,162.097,0.01,-0.04,-0.17,1.68,WIN,
472751278274519,XAUUSD,SELL,2026-07-03 00:09,2026-07-03 02:09,4122.79,4122.69,0.08,-0.66,0.00,0.14,WIN,
472751278242180,XAUUSD,SELL,2026-07-02 22:12,2026-07-02 23:11,4128.05,4126.40,0.05,-0.42,0.00,7.83,WIN,
471753788916139,NAS100,SELL,2026-07-01 21:29,2026-07-01 21:32,29959.08,29955.97,2.68,0.00,0.00,8.33,WIN,
471753788915999,NAS100,SELL,2026-07-01 21:28,2026-07-01 21:32,29962.34,29954.58,1.28,0.00,0.00,9.93,WIN,
470823609723769,NAS100,SELL,2026-06-30 13:52,2026-06-30 14:28,29887.31,29861.56,3.66,0.00,0.00,94.25,WIN,81
469591490926096,GBPUSD,BUY,2026-06-29 14:15,2026-06-30 14:05,1.32119,1.32269,0.33,-1.32,-5.54,42.64,WIN,
470823609717701,NAS100,SELL,2026-06-30 13:19,2026-06-30 13:40,29895.72,29870.31,4.83,0.00,0.00,122.73,WIN,76
470823609572945,NAS100,BUY,2026-06-29 22:55,2026-06-30 08:00,29360.26,29742.74,0.49,0.00,-1.75,185.67,WIN,97
470823609574255,NAS100,BUY,2026-06-29 22:56,2026-06-29 23:04,29394.45,29419.89,0.49,0.00,0.00,12.47,WIN,65
469591490966544,NAS100,BUY,2026-06-29 18:46,2026-06-29 21:41,29433.66,29444.72,0.67,0.00,0.00,7.41,WIN,47
469591490921333,NAS100,BUY,2026-06-29 13:52,2026-06-29 14:22,29342.48,29349.34,1.3,0.00,0.00,8.92,WIN,52
467914918737634,XAUUSD,SELL,2026-06-27 01:00,2026-06-27 01:13,4083.64,4084.41,0.28,-2.28,0.00,-23.84,LOSS,36
467914918738578,AUDUSD,BUY,2026-06-27 01:05,2026-06-27 01:12,0.69023,0.69019,3.47,-13.88,0.00,-27.76,LOSS,
